app_id,genre_1,genre_2,genre_3
578080,Action,Adventure,Massively Multiplayer
570,Action,Free to Play,Strategy
730,Action,Free to Play,
622590,,,
359550,Action,,
271590,Action,Adventure,
230410,Action,Free to Play,
440,Action,Free to Play,
624090,,,
4000,Indie,Simulation,
8930,Strategy,,
218620,Action,RPG,
227300,Indie,Simulation,
107410,Action,Simulation,Strategy
365590,Action,Adventure,RPG
377160,RPG,,
289070,Strategy,,
444090,Action,Free to Play,
482730,Simulation,Sports,
72850,RPG,,
476620,Action,,
10,Action,,
504370,Action,Free to Play,
292030,RPG,,
381210,Action,,
236850,Simulation,Strategy,
489830,RPG,,
306130,Massively Multiplayer,RPG,
435150,Adventure,RPG,Strategy
394360,Simulation,Strategy,
281990,Simulation,Strategy,
550,Action,,
594570,Action,Strategy,
221380,Strategy,,
255710,Simulation,Strategy,
214950,Strategy,,
601510,Free to Play,Strategy,
386360,Action,Free to Play,
294100,Indie,Simulation,Strategy
413150,Indie,RPG,Simulation
582160,Action,Adventure,RPG
322330,Adventure,Indie,Simulation
577800,Simulation,Sports,
444200,Action,Free to Play,Massively Multiplayer
447020,Simulation,,
480,,,
550650,Action,Free to Play,
49520,Action,RPG,
291550,Action,Free to Play,Indie
48700,Action,RPG,
374320,Action,,
268500,Strategy,,
311290,RPG,Strategy,
240,Action,,
39210,Massively Multiplayer,RPG,
356190,Action,Adventure,RPG
253920,RPG,Strategy,
378120,,,
250900,Action,,
485510,Action,RPG,
698780,Casual,Free to Play,Indie
259360,,,
259340,Action,Casual,Indie
231430,Strategy,,
291480,Action,Free to Play,Massively Multiplayer
364360,Action,Strategy,
22380,Action,RPG,
325610,Strategy,,
298610,Adventure,Casual,Free to Play
264710,Adventure,Indie,
322170,Action,Indie,
242920,Indie,Simulation,Strategy
453480,Free to Play,Strategy,
460930,Action,Adventure,
220200,Indie,Simulation,
10500,Strategy,,
4700,Strategy,,
221100,Action,Adventure,Massively Multiplayer
239140,Action,RPG,
232090,Action,,
457140,Indie,Simulation,
55100,Action,,
391220,Action,Adventure,
466240,Action,Free to Play,Indie
47890,Simulation,,
314160,Simulation,,
295270,,,
268910,Action,Indie,
628890,Simulation,,
612880,Action,,
738060,Free to Play,Indie,Simulation
270880,Indie,Simulation,
592580,Sports,,
475150,Action,RPG,
620,Action,Adventure,
268850,Utilities,,
34330,Strategy,,
610080,Free to Play,RPG,Strategy
225540,Action,Adventure,
619890,Action,,
240720,Action,,
105450,Simulation,Strategy,
219740,Adventure,Indie,Simulation
311210,Action,Adventure,
493340,Simulation,Strategy,
346010,Indie,Simulation,
333930,Action,Free to Play,
595460,Casual,Indie,Simulation
262060,Indie,RPG,Strategy
284160,Racing,Simulation,Early Access
389730,Action,Sports,
518790,Adventure,Simulation,Sports
446800,Simulation,,
222880,Action,Indie,Strategy
588430,Free to Play,RPG,Simulation
346900,Casual,Free to Play,Indie
379720,Action,,
218230,Action,Free to Play,Massively Multiplayer
513650,,,
674940,Action,Casual,Indie
335300,Action,RPG,
287700,Action,Adventure,
392110,Strategy,,
411300,Action,Adventure,RPG
385760,Sports,,
241930,,,
477160,Adventure,Indie,
33930,Action,Simulation,Strategy
202990,Action,,
211420,Action,RPG,
515220,Racing,Simulation,Sports
228200,Action,Strategy,
212740,,,
304390,Action,,
473500,,,
42690,,,
295110,Action,Adventure,Massively Multiplayer
24010,Simulation,,
10190,Action,,
645630,Racing,Simulation,
476600,Action,,
34030,Strategy,,
378860,Racing,,
384300,Design & Illustration,Utilities,
367520,Action,Adventure,Indie
231670,,,
244450,Action,Simulation,Strategy
312660,Action,Adventure,
363150,Simulation,,
282070,Adventure,Indie,Simulation
200510,Strategy,,
536930,Free to Play,RPG,
233450,Indie,Simulation,Strategy
242050,Action,Adventure,
9900,Free to Play,Massively Multiplayer,RPG
316010,Free to Play,Strategy,
403640,Action,,
524220,Action,RPG,
469600,Indie,Strategy,Early Access
4760,Strategy,,
480490,Action,Adventure,
447040,Action,Adventure,
402840,Casual,Free to Play,Indie
261640,Action,RPG,
364470,Free to Play,,
663090,Free to Play,Massively Multiplayer,RPG
266840,Simulation,Strategy,
203160,Action,Adventure,
291650,RPG,,
372000,Free to Play,Massively Multiplayer,RPG
456610,,,
212680,Indie,Simulation,Strategy
337000,Action,RPG,
32470,Strategy,,
569480,Indie,Simulation,Strategy
444640,Action,Free to Play,Strategy
473690,Action,Adventure,Indie
234140,Action,Adventure,
298110,Action,Adventure,
201810,Action,,
445220,Action,Indie,Simulation
335240,Free to Play,Indie,Massively Multiplayer
8800,Strategy,,
208650,Action,Adventure,
438740,Action,,
8980,Action,RPG,
521630,Action,Casual,Indie
220,Action,,
393420,Action,Adventure,Simulation
22330,RPG,,
20920,RPG,,
3910,Strategy,,
252530,Casual,Simulation,
360430,Action,Adventure,
391540,Indie,RPG,
12120,Action,,
286940,,,
20900,Action,RPG,
431240,Casual,Indie,Sports
466560,Indie,Simulation,Strategy
6060,Action,,
10090,Action,,
339600,Free to Play,Massively Multiplayer,Strategy
333420,Strategy,,
212500,Free to Play,Massively Multiplayer,RPG
235540,Action,Indie,
65930,Action,,
310950,Action,,
275850,Action,Adventure,
367500,Action,Adventure,RPG
448440,Adventure,Indie,
12210,Action,Adventure,
226840,RPG,Strategy,
601430,Action,Adventure,
675010,Simulation,,
17390,Simulation,,
1840,Animation & Modeling,Video Production,
646570,Indie,Strategy,
297000,RPG,Strategy,
113400,Action,Free to Play,Massively Multiplayer
206420,Action,Adventure,
236870,Action,,
624120,Simulation,Sports,
220240,Action,Adventure,
521890,Adventure,Indie,Strategy
65980,Strategy,,
219640,Action,Indie,
588650,Action,Indie,
55230,Action,,
221680,Casual,Simulation,
261430,,,
208580,RPG,,
550900,,,
459820,Casual,Free to Play,Indie
310560,Racing,Simulation,Sports
393430,Indie,Simulation,Sports
71270,,,
205100,Action,Adventure,
349040,Action,Adventure,
300,Action,,
213670,Action,Adventure,RPG
50130,Action,,
334230,Indie,RPG,Strategy
319630,Action,Adventure,
245620,RPG,Simulation,Strategy
204880,Indie,Strategy,
449540,Casual,Indie,
451340,Indie,Simulation,
80,Action,,
288390,,,
488790,RPG,,
542650,Indie,Simulation,
22490,,,
429660,Action,RPG,
35450,Action,Massively Multiplayer,Simulation
313160,Simulation,,
455940,Casual,Indie,Strategy
447820,Action,Indie,Strategy
286690,Action,,
251060,Indie,Simulation,Strategy
375450,Strategy,,
657200,Simulation,,
304030,Free to Play,Massively Multiplayer,RPG
311690,Action,Adventure,Indie
47410,Free to Play,Massively Multiplayer,Strategy
42710,Action,,
592600,Sports,,
627270,Action,,
438020,Action,Indie,Strategy
1250,Action,,
207890,,,
365670,Animation & Modeling,Design & Illustration,Video Production
307780,Action,,
42680,Action,,
454150,,,
564710,Casual,Free to Play,RPG
361420,Adventure,Indie,
285190,Action,Simulation,Strategy
10180,Action,,
287390,Action,,
581690,,,
363890,Design & Illustration,Web Publishing,
357290,Action,Adventure,Indie
374040,Action,Adventure,RPG
269950,Simulation,,
217490,,,
641990,Indie,Simulation,Strategy
289130,RPG,Strategy,
504730,,,
42750,,,
302830,Action,Free to Play,Early Access
8870,Action,,
224260,Action,Free to Play,Indie
706220,,,
558990,Indie,Simulation,
3900,Strategy,,
502520,Indie,Simulation,Strategy
609150,Action,RPG,
496460,Indie,Simulation,Strategy
32370,Adventure,RPG,
466170,Casual,Indie,
9450,Strategy,,
203290,Action,Free to Play,
306020,Action,Strategy,
287450,Simulation,Strategy,
42960,Strategy,,
610120,Adventure,Indie,
650500,,,
236690,Sports,Strategy,
434170,Casual,Indie,Strategy
370240,Sports,,
427270,Action,Free to Play,Strategy
2870,Action,Simulation,
234630,Racing,Simulation,Sports
249130,Action,Adventure,
685310,Casual,Free to Play,Strategy
226860,Indie,Strategy,
236430,Action,RPG,
47810,RPG,,
200260,Action,Adventure,
238090,Action,Adventure,
228280,RPG,Strategy,
285920,Action,Indie,
210770,Action,Indie,Strategy
400,Action,,
368070,Action,,
312530,Action,Indie,
321040,,,
365960,Racing,Simulation,Sports
581600,Action,Adventure,Indie
722060,Indie,Strategy,
365360,Indie,RPG,Strategy
292730,Action,Adventure,
70,Action,,
212910,,,
388660,Indie,Simulation,Strategy
368500,Action,Adventure,
24960,Action,,
389300,,,
225260,Action,Adventure,Strategy
40970,Simulation,Strategy,
33230,Action,Adventure,
541180,,,
289650,Action,Adventure,
474960,Action,,
391040,Racing,Simulation,Sports
33350,,,
545580,Action,Casual,Indie
42700,Action,,
332310,Adventure,,
366220,Adventure,Indie,RPG
282440,Action,,
431560,,,
22370,RPG,,
500,Action,,
619730,,,
371660,Action,Adventure,
203140,Action,,
39120,Free to Play,Massively Multiplayer,RPG
619330,Indie,Simulation,
482750,,,
554620,Action,Adventure,
526290,Action,Indie,
624140,,,
9420,Strategy,,
636480,Action,Indie,Early Access
268400,Strategy,,
